Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,29-janv.-21,13802
Indonesia,30-janv.-21,14518
Indonesia,31-janv.-21,12001
Indonesia,1-févr.-21,10994
Indonesia,2-févr.-21,10379
Indonesia,3-févr.-21,11984
Indonesia,4-févr.-21,11434
Indonesia,5-févr.-21,11749
Indonesia,6-févr.-21,12156
Indonesia,7-févr.-21,10827
Indonesia,8-févr.-21,8242
Indonesia,9-févr.-21,8700
Indonesia,10-févr.-21,8776
Indonesia,11-févr.-21,8435
Indonesia,12-févr.-21,9869
Indonesia,13-févr.-21,8844
Indonesia,14-févr.-21,6765
Indonesia,15-févr.-21,6462
Indonesia,16-févr.-21,10029
Indonesia,17-févr.-21,9687
Indonesia,18-févr.-21,9039
Indonesia,19-févr.-21,10614
Indonesia,20-févr.-21,8054
Indonesia,21-févr.-21,7300
Indonesia,22-févr.-21,10180
Indonesia,23-févr.-21,9775
Indonesia,24-févr.-21,7533
Indonesia,25-févr.-21,8493
Indonesia,26-févr.-21,8232
Indonesia,27-févr.-21,6208
Indonesia,28-févr.-21,5560
Indonesia,1-mars-21,6680
Indonesia,2-mars-21,5712
Indonesia,3-mars-21,6808
Indonesia,4-mars-21,7264
Indonesia,5-mars-21,6971
Indonesia,6-mars-21,5767
Indonesia,7-mars-21,5826
Indonesia,8-mars-21,6894
Indonesia,9-mars-21,6389
Indonesia,10-mars-21,5633
Indonesia,11-mars-21,5144
Indonesia,12-mars-21,6412
Indonesia,13-mars-21,4607
Indonesia,14-mars-21,4714
Indonesia,15-mars-21,5589
Indonesia,16-mars-21,5414
Indonesia,17-mars-21,6825
Indonesia,18-mars-21,6570
Indonesia,19-mars-21,6279
Indonesia,20-mars-21,5656
Indonesia,21-mars-21,4396
Indonesia,22-mars-21,5744
Indonesia,23-mars-21,5297
Indonesia,24-mars-21,5227
Indonesia,25-mars-21,6107
Indonesia,26-mars-21,4982
Indonesia,27-mars-21,4461
Indonesia,28-mars-21,4083
Indonesia,29-mars-21,5008
Indonesia,30-mars-21,4682
Indonesia,31-mars-21,5937
Indonesia,1-avr.-21,6142
Indonesia,2-avr.-21,5325
Indonesia,3-avr.-21,4345
Indonesia,4-avr.-21,6731
Indonesia,5-avr.-21,3712
Indonesia,6-avr.-21,4549
Indonesia,7-avr.-21,4860
Indonesia,8-avr.-21,5504
Indonesia,9-avr.-21,5265
Indonesia,10-avr.-21,4723
Indonesia,11-avr.-21,4127
Indonesia,12-avr.-21,4829
Indonesia,13-avr.-21,5702
Indonesia,14-avr.-21,5656
Indonesia,15-avr.-21,6177
Indonesia,16-avr.-21,5363
Indonesia,17-avr.-21,5041
Indonesia,18-avr.-21,4585
Indonesia,19-avr.-21,4952
Indonesia,20-avr.-21,5549
Indonesia,21-avr.-21,5720
Indonesia,22-avr.-21,6243
Indonesia,23-avr.-21,5436
Indonesia,24-avr.-21,4544
Indonesia,25-avr.-21,4402
Indonesia,26-avr.-21,5944
Indonesia,27-avr.-21,4656
Indonesia,28-avr.-21,5241
